Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,323.540009,324.890015,320.359985,322.730011,318.164032,233011200
2020-01-08,322.940002,328.619995,322.670013,327.450012,322.817261,279718200
2020-01-15,327.350006,332.179993,327.260010,331.299988,326.612793,299695300
2020-01-22,332.239990,332.950012,322.660004,326.890015,322.265198,336352800
2020-01-29,328.380005,330.010010,320.730011,329.059998,324.404449,375041800
2020-02-05,332.269989,337.019989,330.670013,335.260010,330.516754,277384700
2020-02-12,336.829987,338.119995,335.209991,336.730011,331.965973,220303000
2020-02-19,337.790009,339.079987,311.690002,312.649994,308.226624,616767900
2020-02-26,314.179993,318.109985,285.540009,300.239990,295.992218,1403734000
2020-03-04,306.119995,313.100006,273.450012,288.420013,284.339478,1177508800
2020-03-11,280.700012,281.940002,237.070007,252.800003,249.223404,1536413600
2020-03-18,236.250000,248.369995,218.259995,243.149994,239.709930,1525597600
2020-03-25,244.869995,263.329987,239.750000,257.750000,255.597580,1147654900
2020-04-01,247.979996,275.029999,243.899994,265.130005,262.915955,892264600
2020-04-08,267.959991,284.899994,265.250000,283.790009,281.420135,593039700
2020-04-15,277.570007,287.299988,272.019989,273.040009,270.759888,626753100
2020-04-22,278.350006,291.399994,276.910004,285.730011,283.343903,466566900
2020-04-29,291.529999,294.880005,279.130005,286.190002,283.800079,527030900
2020-05-06,288.040009,294.239990,283.779999,286.670013,284.276093,400890100
2020-05-13,286.059998,296.750000,272.989990,291.970001,289.531799,593354800
2020-05-20,295.820007,302.190002,293.220001,299.079987,296.582397,317065200
2020-05-27,302.119995,308.130005,296.869995,308.079987,305.507233,444513800
2020-06-03,310.239990,323.410004,309.079987,320.790009,318.111145,470007100
2020-06-10,321.420013,322.390015,296.739990,312.959991,310.346527,772183700
2020-06-17,314.070007,314.500000,306.529999,312.049988,309.444122,442453500
2020-06-24,309.839996,310.510010,298.929993,308.359985,307.130554,543410600
2020-07-01,309.570007,317.679993,309.070007,313.779999,312.528961,286364500
2020-07-08,314.609985,322.709991,310.679993,318.920013,317.648468,392197700
2020-07-15,322.410004,326.929993,319.089996,325.010010,323.714203,318401700
2020-07-22,324.619995,327.230011,319.250000,321.170013,319.889496,313085500
2020-07-29,322.119995,330.059998,319.640015,330.059998,328.744049,290522500
2020-08-05,331.470001,337.540009,331.130005,332.799988,331.473114,257694200
2020-08-12,335.440002,339.100006,335.410004,338.640015,337.289856,217117500
2020-08-19,339.049988,344.209991,335.220001,344.119995,342.747986,252420700
2020-08-26,344.760010,352.709991,344.170013,352.600006,351.194183,278511700
2020-09-02,354.670013,358.750000,332.880005,333.209991,331.881470,471172700
2020-09-09,337.549988,342.529999,331.000000,340.170013,338.813751,385238600
2020-09-16,341.510010,343.059998,321.730011,330.299988,328.983063,442560100
2020-09-23,330.899994,334.959991,319.799988,332.369995,332.369995,356751500
2020-09-30,333.089996,342.170013,331.190002,334.929993,334.929993,417625600
2020-10-07,338.119995,354.019989,338.089996,350.130005,350.130005,315414700
2020-10-14,350.750000,351.929993,341.040009,343.380005,343.380005,336295800
2020-10-21,343.329987,345.989990,335.619995,338.220001,338.220001,325585300
2020-10-28,332.100006,338.250000,322.600006,336.029999,336.029999,517341800
