index,date,tweets,isRetweet,isDeleted,avg_sentiment_score,sum_sentiment_score,retweets,favorites,word_count,positive,negative,neutral,s&p_%change,s&p_up/down
49,2017-01-24,4,0,0,5.9076249999999995,219.42,70872,427347,215,3,0,1,0.005375145787648572,up
50,2017-01-25,8,0,0,5.47466242091242,449.39000000000004,193890,948277,475,5,2,1,0.004146235051689161,up
51,2017-01-26,11,0,1,5.564406623679352,528.9399999999999,157941,827391,568,7,1,3,-0.000848310123530923,down
52,2017-01-27,7,0,0,5.734901360544218,312.74,135952,719908,326,4,0,3,-0.0018834455386777546,down
53,2017-01-30,7,0,0,5.469285190999477,434.75999999999993,176344,918695,473,4,1,2,-0.0022353830375396533,down
54,2017-01-31,3,0,0,5.26301282051282,215.20000000000005,78825,389755,237,0,0,3,0.002132829507807262,up
55,2017-02-01,4,0,0,5.896994047619048,194.25000000000003,95773,566113,198,3,1,0,-0.0026426606554306948,down
56,2017-02-02,8,0,0,5.790589743589743,482.8,185034,871034,493,3,0,5,0.0018272830766637093,up
57,2017-02-03,7,0,0,5.461534013605443,434.09,205528,925798,456,4,1,2,0.0038801519084980546,up
58,2017-02-06,6,0,1,5.6087236227824455,365.1200000000001,128993,598483,390,3,0,3,-0.0007496774492474576,down
59,2017-02-07,5,0,1,5.092272527472527,308.55999999999995,95079,453867,349,1,4,0,-0.0012152425258473074,down
60,2017-02-08,11,0,0,5.516371900826446,579.58,194143,955873,611,5,2,4,0.0022361917802304824,up
61,2017-02-09,8,0,0,5.328633207070707,415.58,150021,740952,458,4,3,1,0.004863572185446673,up
62,2017-02-10,3,0,0,5.372420634920634,159.7,65263,301139,173,1,0,2,0.0016564146777286667,up
63,2017-02-13,3,0,0,6.123737373737374,157.82,33206,210099,155,3,0,0,0.0028125825170842765,up
64,2017-02-14,6,0,0,5.803814814814815,276.28000000000003,73731,389765,277,5,0,1,0.004926641971859772,up
65,2017-02-15,11,0,0,5.51521472971473,550.14,213651,839720,582,5,2,4,0.005852902295564127,up
66,2017-02-16,6,0,0,5.186863636363637,320.66999999999996,105607,556404,357,1,2,3,-0.0010299118631793005,down
67,2017-02-17,8,0,1,5.300530844155844,433.52000000000004,124937,648445,481,4,2,2,0.0034783897487489232,up
68,2017-02-21,3,0,0,5.328461538461539,110.96,52679,269801,121,1,2,0,0.004446017636023918,up
69,2017-02-22,2,0,0,5.981583710407239,181.05999999999997,22754,166777,177,2,0,0,0.0007242190844596732,up
70,2017-02-23,1,0,0,5.4625,43.7,8509,47681,46,0,0,1,-0.0015585812038015163,down
71,2017-02-24,6,0,0,5.247828282828283,268.64,81549,431787,294,2,1,3,0.004928454491206099,up
72,2017-02-27,2,0,0,5.8260000000000005,106.03999999999999,24210,135860,102,1,0,1,0.001911027696342633,up
73,2017-02-28,1,0,0,6.286666666666667,18.86,8987,70547,18,1,0,0,-0.0010313197015979984,down
74,2017-03-01,3,0,0,6.675,26.700000000000003,35770,257391,25,2,0,0,0.0066509303181587825,up
75,2017-03-02,1,0,0,5.95,83.29999999999998,30337,150187,81,1,0,0,-0.005357585551727721,down
76,2017-03-03,13,0,2,5.413603127641589,662.3700000000001,226902,953081,706,5,4,4,0.0009240944979586543,up
77,2017-03-06,4,0,1,6.026494755244755,208.86,64263,316781,198,4,0,0,3.3714209013074795e-05,up
78,2017-03-07,8,0,0,5.591897824397824,508.9600000000001,126516,649797,529,5,1,2,-0.0009912925963677717,down
79,2017-03-08,6,0,0,6.05769943019943,336.16,85009,463293,330,6,0,0,-0.0028821208577711767,down
80,2017-03-09,4,1,1,5.888928571428572,246.8,50935,200255,243,4,0,0,0.0005839360462027415,up
81,2017-03-10,3,2,1,5.538095238095238,100.53999999999999,22313,36216,110,1,0,2,3.37522968509904e-05,up
82,2017-03-13,5,0,0,5.415252525252525,270.78,48519,268541,292,2,1,2,0.0008053399249797692,up
83,2017-03-14,2,0,0,6.4719999999999995,52.08,29614,136776,46,2,0,0,-0.0013088589794877875,down
84,2017-03-15,7,0,0,5.622431972789115,423.42,106340,515826,450,4,1,2,0.006294422507357958,up
85,2017-03-16,7,1,0,6.0307619047619045,346.88,69839,359373,336,7,0,0,-0.002651108427486437,down
86,2017-03-17,9,5,0,5.774869351781117,434.29,73405,214355,460,6,0,3,-0.0022905307647871267,down
87,2017-03-20,7,0,0,5.650461639201135,403.58,94462,467602,427,3,0,4,-0.002005692873745701,down
88,2017-03-21,4,0,0,6.063611111111111,201.01999999999998,40842,208922,191,4,0,0,-0.014836191429122203,down
89,2017-03-22,1,0,0,5.504,27.52,10554,76342,28,1,0,0,0.0023260567648314364,up
90,2017-03-23,7,2,2,5.4684322344322345,422.82,104902,377982,453,2,0,5,-4.266891786214453e-06,down
91,2017-03-24,4,0,0,5.850027056277057,228.1,47764,242832,228,3,0,1,-0.002739911255738571,down
92,2017-03-27,1,0,0,5.705,68.46,17098,91348,71,1,0,0,0.0053582614933025815,up
93,2017-03-28,10,0,0,5.700189533995416,604.62,128561,567799,613,10,0,0,0.008026373600610074,up
94,2017-03-29,4,0,0,5.320009920634921,181.08,43913,225499,199,2,2,0,0.0019477046534491875,up
95,2017-03-30,9,0,1,5.397954144620812,456.54,67159,327343,501,2,0,7,0.0028585826644293307,up
96,2017-03-31,8,0,0,5.969315367172511,350.82,79194,378702,356,6,1,0,-0.0008880578393332568,down
97,2017-04-03,8,0,0,5.80933195970696,481.84,123635,527491,482,7,0,1,-0.0014815817662236616,down
98,2017-04-04,4,1,1,5.827460317460318,128.72000000000003,33160,115238,129,2,0,1,0.002293185707701955,up
99,2017-04-05,1,0,0,6.1933333333333325,55.73999999999999,10675,57451,54,1,0,0,-0.005763624663672583,down
100,2017-04-06,2,0,0,6.262857142857143,62.4,27325,122708,60,2,0,0,0.0015719120816621213,up
101,2017-04-07,1,1,0,5.9,64.89999999999999,12596,0,64,1,0,0,-0.0004455798254210192,down
102,2017-04-10,3,0,0,6.590740740740741,141.46,37967,205471,127,3,0,0,0.0,down
103,2017-04-11,5,1,1,5.554064468864469,371.48,81358,269825,393,3,0,2,-5.942980417157502e-05,down
104,2017-04-12,6,0,0,5.911584595959596,382.15999999999997,63497,354085,379,5,0,1,-0.0030695195037786765,down
105,2017-04-13,4,0,0,6.0137097902097905,276.2,77310,372036,267,4,0,0,-0.005563680779201201,down
106,2017-04-17,8,1,1,5.56247929154179,433.76,85823,366022,458,5,0,3,0.007026387571877213,up
107,2017-04-18,7,0,0,5.264858543417367,396.38,70759,321174,454,2,2,2,-0.00014517978245303566,down
108,2017-04-19,4,0,0,5.645160256410256,237.33999999999997,43028,211274,247,2,0,1,-0.003673152202262239,down
109,2017-04-20,4,0,0,5.8581089743589745,291.94000000000005,37824,185193,294,3,1,0,0.005613268222079173,up
110,2017-04-21,5,1,0,5.716570096570097,281.22,60486,242978,302,2,0,3,-0.002569306601023047,down
111,2017-04-24,7,0,1,5.268295751633987,311.48,53171,273610,342,1,1,4,0.0016115156430969249,up
112,2017-04-25,5,0,0,5.612661319073084,292.22,50652,232578,307,3,0,2,0.002981342497065551,up
113,2017-04-26,9,0,0,5.66076940343607,457.18,88199,407113,490,4,3,2,-0.000640452834602663,down
114,2017-04-27,12,0,0,5.580078102453103,558.46,119791,545948,584,5,1,6,-0.00038914132278865504,down
115,2017-04-28,4,1,0,5.722934065934067,253.56,42206,169459,261,3,0,1,-0.0039604213049817035,down
116,2017-05-01,2,0,0,6.0458181818181815,126.91999999999999,12186,62150,124,2,0,0,-7.114172074525531e-05,down
117,2017-05-02,4,0,0,5.469055555555556,228.28000000000003,39157,176906,247,1,1,2,5.013404050251138e-05,up
118,2017-05-03,4,0,1,5.547372835497835,254.62,44335,200369,267,1,0,3,0.0006829595642152143,up
119,2017-05-04,10,1,0,5.611249999999999,531.0799999999999,87764,363491,557,5,1,4,-0.00011298858711162595,down
120,2017-05-05,10,0,0,5.8964843551510215,518.54,94450,479846,516,7,1,1,0.0028924964205275547,up
121,2017-05-08,10,1,1,5.6269584415584415,539.89,101474,399380,551,7,1,2,-0.00023336333982054477,down
122,2017-05-09,2,0,0,6.141212121212121,85.88,15800,82220,81,2,0,0,-0.001940454137961048,down
123,2017-05-10,11,2,2,5.199407713498622,563.47,147794,542600,629,1,3,7,0.0011848530550404336,up
124,2017-05-11,6,0,0,5.100214285714286,192.58999999999997,108999,372559,219,1,3,2,-0.0001670871479080709,down
125,2017-05-12,9,0,0,5.732226107226108,512.36,135471,574894,515,6,0,3,-0.0006437106209471942,down
126,2017-05-15,1,0,0,5.85,58.50000000000001,9010,46658,59,1,0,0,0.00348377516507048,up
127,2017-05-16,6,0,0,5.7769047619047615,260.32,86072,364868,270,4,0,1,-0.0016136603193655972,down
128,2017-05-17,1,0,0,6.6466666666666665,39.88,10836,58831,35,1,0,0,-0.010877241458270155,down
129,2017-05-18,4,0,1,5.538857142857141,241.76,75929,279236,259,1,0,3,0.004684281275400368,up
130,2017-05-19,3,0,0,5.883333333333334,97.5,32043,169435,95,2,0,0,0.0043687246144038655,up
131,2017-05-22,2,1,0,5.705,41.6,27879,57380,41,1,0,1,0.002852727288867035,up
132,2017-05-23,4,0,0,6.232476190476191,245.28,69339,332058,228,4,0,0,0.0005756612228203432,up
133,2017-05-24,2,0,0,6.3338636363636365,91.64,29619,144786,87,2,0,0,0.0012409297492730394,up
