index,date,tweets,isRetweet,isDeleted,avg_sentiment_score,sum_sentiment_score,delta_avg,retweets,favorites,word_count,positive,negative,neutral,s&p_%change,s&p_up/down
0,2016-12-08,1,0,0,5.434285714285713,76.08,-0.10067486944248927,10063,40673,83,0,0,1,0.002257815594885128,up
1,2016-12-15,1,0,0,4.9630769230769225,64.52,-0.57188366065128,6982,30051,76,0,1,0,0.003664974210634003,up
2,2017-01-06,1,0,0,5.777142857142858,80.88,0.24218227341465504,15421,54861,82,1,0,0,0.002571434290771819,up
3,2017-01-09,1,0,0,5.107142857142857,71.50000000000001,-0.4278177265853458,15261,64289,79,0,0,1,-0.002062898683784116,down
4,2017-01-12,1,0,0,5.06,45.540000000000006,-0.47496058372820293,27885,105693,51,0,0,1,-0.00030819413729524025,down
5,2017-01-25,1,0,0,5.921818181818183,65.14,0.3868575980899802,43057,164228,65,1,0,0,0.004146235051689161,up
6,2017-01-26,1,0,0,5.196923076923077,67.56,-0.3380375068051258,23132,98159,76,0,0,1,-0.000848310123530923,down
7,2017-02-03,1,0,0,5.224285714285714,73.14000000000001,-0.31067486944248834,33159,138695,82,0,0,1,0.0038801519084980546,up
8,2017-02-09,1,0,0,5.62,61.82,0.08503941627179756,9308,57228,63,1,0,0,0.004863572185446673,up
9,2017-02-16,1,0,0,5.948,89.22,0.41303941627179785,19081,109157,88,1,0,0,-0.0010299118631793005,down
10,2017-03-02,1,0,0,5.95,83.29999999999998,0.41503941627179763,30337,150187,81,1,0,0,-0.005357585551727721,down
11,2017-03-07,1,0,0,5.616363636363636,61.78000000000002,0.08140305263543368,19352,105938,64,1,0,0,-0.0009912925963677717,down
12,2017-03-08,1,0,0,6.0,66.0,0.46503941627179746,18666,103193,66,1,0,0,-0.0028821208577711767,down
13,2017-03-27,1,0,0,5.705,68.46,0.17003941627179753,17098,91348,71,1,0,0,0.0053582614933025815,up
14,2017-03-28,1,0,0,5.663333333333332,67.96,0.12837274960512968,15100,57557,68,1,0,0,0.008026373600610074,up
15,2017-03-30,3,0,1,5.1244444444444435,129.26,-0.4105161392837582,11166,59126,148,0,0,3,0.0028585826644293307,up
16,2017-04-24,3,0,0,5.159444444444445,150.56,-0.37551613928375777,26111,135539,168,0,1,2,0.0016115156430969249,up
17,2017-04-25,1,0,0,5.1858823529411735,88.16,-0.34907823078702904,20770,83547,100,0,0,1,0.002981342497065551,up
18,2017-04-26,1,0,0,4.8660000000000005,48.66000000000001,-0.668960583728202,7494,39725,59,0,1,0,-0.000640452834602663,down
19,2017-04-27,2,0,0,5.37890909090909,112.98,-0.1560514928191119,22214,100342,121,0,0,2,-0.00038914132278865504,down
20,2017-04-28,1,1,0,5.151428571428571,72.12,-0.3835320122996313,7019,0,81,0,0,1,-0.0039604213049817035,down
21,2017-05-02,1,0,0,5.416666666666668,65.0,-0.11829391706153469,15076,56679,70,0,0,1,5.013404050251138e-05,up
22,2017-05-04,2,0,0,4.998749999999999,101.66,-0.5362105837282027,18038,76047,116,0,1,1,-0.00011298858711162595,down
23,2017-05-05,1,0,0,6.251111111111111,56.26,0.7161505273829087,5709,32708,52,1,0,0,0.0028924964205275547,up
24,2017-05-10,1,0,0,5.401818181818181,59.42,-0.13314240191002114,13921,61983,64,0,0,1,0.0011848530550404336,up
25,2017-06-02,2,2,1,5.539583333333335,111.64000000000001,0.004622749605132093,16718,0,117,1,0,1,0.003204089577128665,up
26,2017-06-05,2,0,0,5.5038333333333345,120.94,-0.031127250394868522,23721,114460,129,1,0,1,-0.0007096392876649332,down
27,2017-06-12,1,0,0,5.006666666666667,75.10000000000002,-0.5282939170615357,15131,74366,89,0,0,1,0.0014469018126568227,up
28,2017-06-16,1,0,0,5.49125,87.85999999999999,-0.04371058372820258,19595,94024,95,0,0,1,0.0007855711521099472,up
29,2017-06-22,2,0,0,5.540439560439561,149.54000000000002,0.005478976711357664,49957,179294,159,1,0,1,-0.001189752242797994,down
30,2017-06-27,1,0,0,5.038666666666667,75.58000000000001,-0.4962939170615357,25523,99155,86,0,0,1,-0.006961345455643266,down
31,2017-07-03,3,0,0,5.579264069264069,229.12000000000003,0.04430348553586683,60140,282996,239,2,0,1,-0.0009788158644780808,down
32,2017-07-11,1,0,0,5.6054545454545455,61.66,0.07049396172634292,22369,80791,63,1,0,0,-0.0007498172601881825,down
33,2017-07-12,4,0,0,5.772714646464647,301.54,0.23775406273644406,66649,277088,300,3,1,0,0.003079133737041979,up
34,2017-07-18,1,0,0,5.6242857142857146,78.73999999999998,0.08932513055751201,13181,65700,81,1,0,0,0.0019260811706402023,up
35,2017-07-19,1,1,0,5.35,21.4,-0.1849605837282029,8947,0,23,0,0,1,0.004050562981936764,up
36,2017-07-24,1,0,0,5.732857142857143,80.26,0.19789655912894055,16218,70045,80,1,0,0,-0.0008616879040768247,down
37,2017-07-25,1,0,0,5.771111111111113,51.94,0.2361505273829101,9836,42742,54,1,0,0,-0.00030267811008335315,down
38,2017-07-26,1,0,0,5.267272727272728,57.94,-0.2676878564554741,11417,49078,66,0,0,1,-0.0008628705286851351,down
39,2017-07-27,1,0,0,5.68,68.16,0.14503941627179717,17013,78057,71,1,0,0,-0.002956422678968445,down
40,2017-07-28,1,0,0,5.663333333333332,67.96000000000001,0.12837274960512968,21404,77320,70,1,0,0,0.001206899971970662,up
41,2017-07-31,1,0,0,5.310588235294118,90.28,-0.22437234843408493,24346,106482,97,0,0,1,-0.0022778791628209954,down
42,2017-08-01,1,0,0,5.485384615384616,71.31,-0.049575968343586574,18569,90603,76,0,0,1,-0.0003027733924057194,down
